Sentiment|Review
+|this camera is perfect for an enthusiastic amateur photographer . 
+|the pictures are razor-sharp , even in macro . 
+|it is small enough to fit easily in a coat pocket or purse . 
+|it is light enough to carry around all day without bother . 
+|operating its many features is easy and often obvious - i 'm no annie lebovitz , but i was able to figure out most of its abilities just messing around with it at a camera store . 
+|the manual does a fine job filling in any blanks that remain . 
+|the auto-focus performs well , but i love having the 12 optional scene modes - they are dummy-proof , and correspond to many situations in which i would actually seek to use the camera . 
+|comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small . 
+|i enthusiastically recommend this camera . 
+|it 's easy to use , and yet very feature rich . 
+|in the auto mode it functions basically as a point and click , the scene modes are very easy to use and produce good results . 
+|the manual mode is feature rich and i can 't wait to get the hang of it . 
+|the macro mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject . 
+|the battery life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it . 
+|i fell in love with this camera , it combines ease of use , with an immense amount of options and power . 
+|this camera is ideal for people who want more power , but do n't want to spend 1000s dollars on a camera . 
+|with nikon , although picture qualities are as good as any other 4 mp cameras , i 've had the following headaches ; 
-|1 . pictures wo n't transfer to pc directly from the camera using the included transfer cable . 
-|. this camera keeps on autofocussing in auto mode with a buzzing sound which can 't be stopped . 
-|. even the slightest of the shakes totally distorts your image 
-|. images taken indoor were n't so clear . 
-|. lens cap is a really annoying 
-|. the movie clips taken will always have some ' noise ' in it - you can 't avoid that . 
+|but overall this is a good camera with a ' really good ' picture clarity ; an exceptional close-up shooting capability . 
-|within a year , there are problems with my menu dial knob . 
-|i send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem . 
+|it is a good camera in terms of the function and quality , but take your chance with it because nikon absolutely sucks when it comes to customer service . 
-|got a " system error " problem 30 days after purchase . 
-|made the camera totally inoperable . 
-|also , the lens cap design is flawed . 
-|audio on video also lacking . 
+|otherwise , it takes very good pictures ; shutter delay is n't so bad either . 
+|nikon 4300 , i feel , is the best camera out there for the features and price . 
+|the pictures are absolutely amazing - the camera captures the minutest of details . 
-|1 . pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance . 
-|2 . it takes a while for the camera to actually capture the photograph from the time you click the button and i have seen people becoming a little impatient waiting for the flash to glow . 
-|3 . the pictures come out hazy if your hands shake even for a moment during the entire process of taking a picture . 
