Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.3754,"drop, fashion, love, world, big, new, time, begin, go, pendant",launches frequent brands including gucci adidas launching according new data retail consumers across uk us still unaware applications benefits
1,0.0,0.3928,"drop, fashion, love, world, big, new, time, begin, go, pendant",launches frequent brands like launching according new data consumers uk us still unaware applications benefits story
2,3.0,0.3671,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",positioned physical influencer creator hub 1 2 million square foot emcee studio opening downtown l later part emcees expansion
3,3.0,0.3252,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",marketers discussed ways among topics digiday medias cmo summit
4,3.0,0.3499,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",positioned physical influencer creator hub 1 2 million square foot emcee studio opening downtown l later part emcees expansion story
5,0.0,0.4563,"drop, fashion, love, world, big, new, time, begin, go, pendant",latest hire styling track record daphne guinness story
6,0.0,0.3062,"drop, fashion, love, world, big, new, time, begin, go, pendant",delving skin market collection marries utility luxury design move suggests could become go path industry veterans story
7,3.0,0.4984,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",january dtc underwear brand meundies posted twitter joined collection bored ape yacht club reaction company received less positive story
8,3.0,0.4727,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",complete influencers product launches branded beauty event come story
9,3.0,0.3973,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",register webinar january 26 1 p est discussion retailers consumers approaching 2022 sponsored
10,0.0,0.3732,"drop, fashion, love, world, big, new, time, begin, go, pendant",land virtual worlds like decentraland getting bought fashion brands rethinking approach setting shop story
11,0.0,0.4255,"drop, fashion, love, world, big, new, time, begin, go, pendant",recently collaborated collection featuring previously worked limited edition luxury fashion toys follow story balmainxbarbie
12,1.0,0.4487,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",ces anticipated irl comeback muted pandemic driven cancellations beauty still present las vegas
13,3.0,0.4789,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",join virtual event january 26 1 p est learn brands drive traffic conversation within virtual retail space sponsored
14,3.0,0.5342,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",third month fashion series looking brands entered space matters bringing table
15,3.0,0.4317,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",month streetwear brands battling biggest acquisitions fast fashion brands opening potential digital worlds
16,1.0,0.3482,"piece, digital, available, want, custom, collectible, liftoff, exclusive, blockchain, mona",l al paris enters space support women worth philanthropy
17,3.0,0.3612,"collection, physical, digitalax, sell, owner, live, space, rarible, mint, item",glossy week review podcast discussed ralph lauren ambitions pete davidson partnership calvin klein chanel advent calendar controversy
18,0.0,0.3754,"drop, fashion, love, world, big, new, time, begin, go, pendant",british fashion awards new addition red carpet ar digital fashion digital accessory worn multiple celebrities designed institute digital fashion sold
