Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.9895,"nftcommunity, eye, hand, draw, vibrant, staytune, inspiring, unique, colorful, nftartist",fam artworks display personal space loving colourful groovy digital sculptures artist collabs potions collection place minting soon
1,0.0,0.9779,"nftcommunity, eye, hand, draw, vibrant, staytune, inspiring, unique, colorful, nftartist",hi big hugs welcome fam discord waits cosy vibes
2,1.0,0.9693,"eye, holder, community, artist, receive, much, pass, access, art, illustrator",thank much absolutely art empowerment women education
3,2.0,0.9914,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",hi hannah love come explore world art luxury vibrant cosmopolitan art talented artist mission create inclusive world ones identity fashioned style looks
4,1.0,0.9895,"eye, holder, community, artist, receive, much, pass, access, art, illustrator",working way roadmap milestone giveaways reward holders women led projects raffle 1 random holder receive new classic black chanel purse lovers eyeconic
5,2.0,0.9909,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",collection 8 888 fine art 250 hand drawn vibrant traits created inspired contrast colorful fun world judging eye belittles industry identify style
6,0.0,0.9779,"nftcommunity, eye, hand, draw, vibrant, staytune, inspiring, unique, colorful, nftartist",like may focused using style identifier rather physical attributes
7,0.0,0.6548,"nftcommunity, eye, hand, draw, vibrant, staytune, inspiring, unique, colorful, nftartist",know know women led collection 8 888 illustrations 250 hand drawn traits illustrator focused identifying style rather physical looks
8,2.0,0.9898,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",8 888 piece collection 250 hand drawn vibrant traits capturing best luxury public minting begins 3pm utc 10am est please use official links stay safe
9,2.0,0.9925,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",wed love support 8 888 piece collection 250 hand drawn vibrant traits inspired contrast colorful fun world judging eye belittles industry public mint tomorrow 3pm utc 10am est
10,2.0,0.9904,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",bringing eye conic characters inspired contrast colorful fun world judging eye belittles industry public sale begins tomorrow 3pm utc 10 est
11,1.0,0.5074,"eye, holder, community, artist, receive, much, pass, access, art, illustrator",thank much support excited holders ready bring
12,1.0,0.9549,"eye, holder, community, artist, receive, much, pass, access, art, illustrator",congratulations purchase welcome eyes
13,1.0,0.9829,"eye, holder, community, artist, receive, much, pass, access, art, illustrator",announcement fulfilled second roadmap milestone 20 sold holders entered raffle eyes 20 winners
14,2.0,0.9918,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",almost time presale begins sunday bringing style 250 hand drawn vibrant traits created inspired contrast colorful fun world judging eye belittles industry
15,2.0,0.9799,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",congrats making leap bringing style illustrations minting starts sunday
16,2.0,0.9918,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",presale begins sunday bringing style 250 hand drawn vibrant traits created inspired contrast colorful fun world judging eye belittles industry ready womeninnfts
17,2.0,0.9918,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",minting weekend bringing style 250 hand drawn vibrant traits created inspired contrast colorful fun world judging eye belittles industry ready womeninnfts
18,2.0,0.9914,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",minting weekend bringing style 250 hand drawn vibrant traits created artist inspired contrast colorful fun world judging eye belittles industry
19,1.0,0.9882,"eye, holder, community, artist, receive, much, pass, access, art, illustrator",honored collaborate receive continual support community collectors know bazl purchase talias custom 1 1 pieces eyes inspiration eyes collection
20,1.0,0.9895,"eye, holder, community, artist, receive, much, pass, access, art, illustrator",announcing eof access pass airdropping bonus 888 people mint 3 eyes within single transaction holders access pass receive vip benefits win 1st pass follow us like rt join discord
21,0.0,0.9779,"nftcommunity, eye, hand, draw, vibrant, staytune, inspiring, unique, colorful, nftartist",join team discuss means traditional artists move digital
22,1.0,0.9865,"eye, holder, community, artist, receive, much, pass, access, art, illustrator",meet amazingly talented artist talias collection experienced artist illustrator creates live art weeks worldwide
23,2.0,0.9898,"world, trait, eye, draw, vibrant, hand, colorful, industry, contrast, belittle",amazing sketch talias 8 888 fine art collection 250 hand drawn vibrant traits inspired contrast colorful fun world judging eye belittles industry
24,1.0,0.9693,"eye, holder, community, artist, receive, much, pass, access, art, illustrator",gary honor welcome eyes community thank spreading kindness community
25,0.0,0.9901,"nftcommunity, eye, hand, draw, vibrant, staytune, inspiring, unique, colorful, nftartist",inspiration trendsetter goddess inspires us confident bold fabulous force women success biz custom gifted paris wedding womeninnft cryptotwitter
