Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,4.0,0.9846,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",man features designs modelled animated characteristic part peace collection available sale proceeds go save children ukraine
1,4.0,0.9856,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",saint george defeats russian warship guniaproject depicts saint george slayer represent victory ukraine russia peace collection sale proceeds going save children ukraine
2,4.0,0.9879,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",antarctic expedition sees ukraine antarctic team wearing ienki ienki expedition parkas part peace collection available sale proceeds go save children ukraine
3,4.0,0.6651,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",x intergalactic freedom dress peace collection sees tulle dress navy gold inspired ukrainian flag available sale proceeds going save children ukraine
4,4.0,0.9872,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",ukrainian culture poppy symbol beauty youth goes along dna brand shares poppy peace collection proceeds go save children ukraine available sale
5,4.0,0.6424,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",happening soon looking forward chatting eic designers founders peace many joining chat ukraine voguefashionforpeace
6,4.0,0.9879,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",gunia projects artworks depict war molotov cocktails anti tank missiles part x peace collection sale live proceeds go save children ukraine
7,4.0,0.9821,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",design modelled character part x peace collection sale live proceeds go save children ukraine
8,4.0,0.9834,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",intergalactic freedom dress x peace collection sale goes live 15 march 8pm sgt proceeds go save children ukraine
9,4.0,0.9872,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",photo ukraine antarctic team wearing ienki ienki designs part x peace collection sale goes live 15 march 8pm sgt proceeds go save children ukraine
10,4.0,0.9865,"ukraine, collection, sale, child, proceed, peace, save, live, vogue, artist",gudus piece x peace collection depicts white forces good forces evil sale goes live 15 march 8pm sgt proceeds go save children ukraine
