Username,Followers,Tweets,Verified
gucci,6712504,11468,True
adidas,4130151,14187,True
adidasUS,982333,47654,True
burberry,8200149,14197,True
LouisVuitton,9315518,7094,True
balenciaga,886074,3,True
dolcegabbana,5379053,20426,True
RebeccaMinkoff,873381,24851,True
KarlLagerfeld,1413444,1285,True
bnv_me,1121,322,False
nike,9056680,37630,True
RTFKTstudios,301301,7306,True
Overpriced_NFT,643,43,False
auroboros_ltd,1152,604,False
republiqec,650,342,False
the_fab_ric_ant,10435,1146,False
SpaceRunnersNFT,145033,336,False
MetaTriads,54616,105,False
MAVIONworld,2659,458,False
SohoKidsNFT,14925,470,False
onclickcloset,106,390,False
SCLadiesNFTs,24461,117,False
mag_nezyum,235,147,False
web3fashion,1944,1963,False
DIGITALAX_,10956,6075,False
prada,1587453,5492,True
balmain,580252,5351,True
ray_ban,426453,18988,True
superplastic,47016,1901,False
givenchy,1101776,1580,True
Bulgariofficial,704434,3884,True
MaisonValentino,2236070,10066,True
fendi,932489,8583,True
jimmychoo,1525691,6131,True
Guerlain,37359,5525,True
MetaBirkins,7192,99,False
RalphLauren,2298500,6297,True
dressxcom,4058,397,False
tribute_brand,481,132,False
dematerialised,10704,3623,False
XRCouture,1415,225,False
carlingscom,21,25,False
McQueen,1895800,6522,True
chanel,13396483,3878,True
versace,5144453,8954,True
michaelkors,3381087,13656,True
JPgaultier,1495925,9011,True
lukso_io,42015,889,False
jonathansimkhai,2857,1268,False
mmalhotraworld,30409,6972,True
pankajandnidhi,16468,1590,False
winkelstraatnl,986,1990,False
glossyco,9738,33625,False
highsnobiety,359796,37882,True
voguemagazine,14690511,172999,True
VogueFrance,2477301,149106,True
BritishVogue,3813888,397384,True
VogueRunway,2357477,132464,True
VOGUEIndia,1242778,45677,True
vogueaustralia,169823,45157,True
VogueArabia,23526,5262,True
VogueLiving,27637,5236,True
voguebusiness,14297,10751,True
vogue_italia,1117771,78271,True
VogueSpain,2719923,120026,True
Vogue_Taiwan,1186,226,False
voguejp,878135,228535,True
VogueMexico,1534476,139414,True
VogueKorea,150364,14666,True
VOGUERussia,848158,34075,True
VOGUE_Germany,281395,20122,True
NLVogue,95089,31014,True
voguescandi,332,1463,False
vogueturkiye,1038935,36663,True
VogueThailand,12669,12377,False
HarpersBazaarSG,42781,22661,False
harpersbazaarus,1703911,114644,True
BazaarArabia,17952,13060,True
harpersbazaarES,445359,102884,True
HarpersBazaarJP,14512,24783,True
ELLEfrance,505089,124365,True
ELLEmagazine,6879082,253884,True
ELLEUK,1114096,109221,True
ELLEINDIA,1259575,27036,True
elleindonesia,14582,5652,False
ElleCanada,84076,58719,True
ELLE_network,2630,1508,False
ELLESouthAfrica,133231,37082,True
ELLEaus,12987,12366,True
Cosmopolitan,1583009,239126,True
CosmopolitanUK,347507,268304,True
Cosmopolitan_IT,128583,59977,True
CosmopolitanSA,327154,59736,True
cosmo_ph,101796,105992,False
esquire,428216,162257,True
EsquireUK,104605,71326,True
EsquirePH,379554,9521,False
esquiresg,26579,4057,False
EsquireME,3690,5041,True
esquireru,554785,41400,False
CosmopolitanNL,19018,41763,True
Cosmopolitan_es,1845256,114012,True
Cosmopolitan_fr,69612,29184,True
Allure_magazine,564684,78377,True
GQMagazine,1339072,159108,True
BritishGQ,337408,138946,True
GQAustralia,52950,24732,True
gqindia,592928,43730,True
GQStyle,656851,38849,True
GQdotcoza,397644,29818,False
VanityFair,4807367,147394,True
TheCut,1429901,222559,True
Dazed,1250386,99348,True
i_D,1504539,147495,True
NylonMag,1107598,89232,True
TeenVogue,3280135,149664,True
wwd,2783080,98381,True
vmagazine,902380,21103,True
femalesingapore,5184,2044,False
nytimes,52211563,465860,True
papermagazine,369105,84897,True
marieclaire,2190242,147635,True
rollingstone,6340739,166110,True
billboard,13446219,291312,True
time,18775032,389010,True
Fashionista_com,2223182,133754,True
VogueRunway,2357477,132464,True
FashionWeek,824134,16699,True
BoF,1847556,55548,True
InStyle,4289862,274093,True
TimesFashion,2275407,12881,True
NYTFashion,959026,56127,True
LondonFashionWk,1234393,8131,True
wmag,1472075,137163,True
glamourmag,1312216,146631,True
GraziaUK,364428,143553,True
Grazia,66173,20191,True
GraziaIndia,1582103,42273,True
Grazia_me,9006,4336,False
graziatweets,21770,7555,True
BazaarUK,508908,110153,True
GlamourMagUK,485119,199221,True
StylistMagazine,665913,159831,True
lofficielsg,828,1786,False
voxdotcom,1036693,142525,True
