Tweet,Processed,Likes,Retweets,Replies,Quotes
"Fashion fam, which artworks would you display in your Personal Space in the @some_place Metaverse? 

We are loving these colourful, groovy digital sculptures by @amber_vittoria and @shantell_martin, two artist collabs with the Potions NFT collection by some·place, minting soon. https://t.co/Hk8JDy6DVp",fam artworks display personal space loving colourful groovy digital sculptures artist collabs potions collection place minting soon,38.0,9.0,6.0,0.0
@blackgold11_nft @TaliaZoref Hi! Big hugs and welcome to our fashion fam. Our Discord waits u with cosy vibes! 🥰,hi big hugs welcome fam discord waits cosy vibes,3.0,0.0,0.0,1.0
"@bcnftgallery @fashionary_nft @WEAV3io @Joystik_app Thank you so much!! Absolutely we are art, fashion and empowerment of women through education! 💓💓",thank much absolutely art empowerment women education,1.0,0.0,0.0,0.0
"@hannahrose_nft @fame_ladies @cryptostacys Hi Hannah, if you love fashion, come explore the world of art, fashion and luxury with @EyesoFashionNFT! It's vibrant, cosmopolitan art is by talented artist @TaliaZoref. Her mission is to create a more inclusive world where one's identity is fashioned by style, not looks.💕 https://t.co/8nip2XzRbN",hi hannah love come explore world art luxury vibrant cosmopolitan art talented artist mission create inclusive world ones identity fashioned style looks,20.0,5.0,2.0,1.0
"We are working our way through all of our roadmap milestone giveaways to reward our holders! 🌟

We have a few more women-led NFT projects to raffle off 

&amp; 

1 random holder will receive a new, classic black Chanel purse!!! 🍾

Fashion lovers, this one is for you. #eyeconic 🥰 https://t.co/uxIWrdGeMV",working way roadmap milestone giveaways reward holders women led projects raffle 1 random holder receive new classic black chanel purse lovers eyeconic,139.0,38.0,22.0,3.0
"@daniel100eth We're a collection of 8,888 fine art NFTs with 250+ hand-drawn vibrant traits created by, @TaliaZoref, who was inspired by the contrast between the colorful and fun fashion world and the judging eye that belittles the industry.

In the metaverse, identify by your style! https://t.co/mdNcbjqgLr",collection 8 888 fine art 250 hand drawn vibrant traits created inspired contrast colorful fun world judging eye belittles industry identify style,24.0,0.0,1.0,0.0
"@katreenatecson @Crypto__Chicks Does she like fashion? If so, we may have just the NFT. We're focused on using style as an identifier rather than physical attributes. https://t.co/UsVC3Y9SO6",like may focused using style identifier rather physical attributes,2.0,0.0,0.0,0.0
".@EvaLongoria we know that you know fashion! 

We're a women-led collection of 8,888 fashion illustrations, with over 250+ hand-drawn traits by illustrator @TaliaZoref. 

We're focused on identifying yourself in the metaverse by your style rather than your physical looks. https://t.co/DpBnurHOe6",know know women led collection 8 888 illustrations 250 hand drawn traits illustrator focused identifying style rather physical looks,131.0,44.0,17.0,1.0
"We are an 8,888 piece NFT Collection with 250+ hand drawn vibrant traits by @TaliaZoref capturing the best of luxury and fashion. 

Public minting begins at 3pm UTC / 10am EST. Please use official links only. Stay safe! 

@opensea 
https://t.co/bxlB8hp8xL https://t.co/Cp2zpMWObX",8 888 piece collection 250 hand drawn vibrant traits capturing best luxury public minting begins 3pm utc 10am est please use official links stay safe,35.0,8.0,6.0,0.0
"@AkisNFTcollect @C_Broadus21 @YearoftheWoman_ We'd love to have your support! We are an 8,888 piece NFT Collection with 250+ hand drawn vibrant traits by 
@TaliaZoref inspired by the contrast between the colorful and fun fashion world and the judging eye that belittles the industry. Public mint tomorrow at 3pm UTC / 10am EST",wed love support 8 888 piece collection 250 hand drawn vibrant traits inspired contrast colorful fun world judging eye belittles industry public mint tomorrow 3pm utc 10am est,2.0,0.0,0.0,0.0
