Tweet,Processed
"Metaverse launches have been frequent in the last year, with brands including Gucci and Adidas launching NFTs. But according to new data, retail consumers across the UK and the US are still unaware of the metaverse, its applications and its benefits. https://t.co/hsqOCvBrPW",launches frequent brands including gucci adidas launching according new data retail consumers across uk us still unaware applications benefits
"Metaverse launches have been frequent in the last year, with brands like @gucci and @adidas launching NFTs. But according to new data, consumers in the UK and US are still unaware of the metaverse, its applications and its benefits.

Story by @_Stylion_. https://t.co/dIGAa7RxHe",launches frequent brands like launching according new data consumers uk us still unaware applications benefits story
"Positioned as a physical metaverse influencer creator hub, 1.2 million-square-foot Emcee Studio is opening in downtown L.A. later this year as part of Emcee's expansion into the metaverse. https://t.co/wHm7vwwULD",positioned physical influencer creator hub 1 2 million square foot emcee studio opening downtown l later part emcees expansion
"Marketers discussed ways into the metaverse, among other topics, at Digiday Media's CMO Summit. https://t.co/uDEXJPkFNC",marketers discussed ways among topics digiday medias cmo summit
"Positioned as a physical metaverse influencer creator hub, a 1.2 million-square-foot Emcee Studio is opening in downtown L.A. later this year as part of Emcee's expansion into the metaverse. 

@_Stylion_ has the story. https://t.co/RTGITNIjex",positioned physical influencer creator hub 1 2 million square foot emcee studio opening downtown l later part emcees expansion story
".@Sheppardstyle is the latest hire for the metaverse, with a styling track record at @TOMFORD, @McQueen and Daphne Guinness.

Story by @_Stylion_. https://t.co/algMkF7t5d",latest hire styling track record daphne guinness story
".@cultandrain is delving under the skin of the NFT market with a collection that marries utility and luxury design. The move suggests that this could become a go-to path for industry veterans. 

@_Stylion_ has the story. https://t.co/UaQvVhaHqG",delving skin market collection marries utility luxury design move suggests could become go path industry veterans story
"In January, the DTC underwear brand MeUndies posted on Twitter that it had joined the NFT collection Bored Ape Yacht Club. The reaction the company received was less than positive. 

@Danny_Parisi_ has the story. https://t.co/f5bs8Z3eny",january dtc underwear brand meundies posted twitter joined collection bored ape yacht club reaction company received less positive story
"Complete with influencers and product launches, the branded beauty event has come to the metaverse @decentraland. 

@Liz__Flora has the story. https://t.co/wugMmozySD",complete influencers product launches branded beauty event come story
Register for this webinar on January 26 at 1 p.m. EST for a discussion on how retailers and consumers are approaching the metaverse in 2022. Sponsored by @Scalefast. https://t.co/Hak7hYmqcd,register webinar january 26 1 p est discussion retailers consumers approaching 2022 sponsored
"With land in virtual worlds like Decentraland getting bought up, fashion brands are rethinking their approach to setting up shop in the metaverse.

Story by @_Stylion_. https://t.co/paanaoQw9A",land virtual worlds like decentraland getting bought fashion brands rethinking approach setting shop story
".@Barbie and @Balmain recently collaborated on a collection featuring three NFT’s, and @Mattel previously worked with @gucci on limited edition @Hot_Wheels. Will other luxury fashion toys follow into the metaverse? @_Stylion_ has the story. #BALMAINxBARBIE https://t.co/Yn7Ha5EZrZ",recently collaborated collection featuring previously worked limited edition luxury fashion toys follow story balmainxbarbie
"While CES’s anticipated IRL comeback has been muted by pandemic-driven cancellations, beauty is still present this year – both in Las Vegas and the metaverse. From @Liz__Flora. https://t.co/7MDybMHiDm",ces anticipated irl comeback muted pandemic driven cancellations beauty still present las vegas
Join this virtual event on January 26 at 1 p.m. EST to learn how brands can drive more traffic and conversation within the NFT and virtual retail space. Sponsored by @Scalefast. https://t.co/6rXpOASklG,join virtual event january 26 1 p est learn brands drive traffic conversation within virtual retail space sponsored
"In the third month of our fashion metaverse series, we’re looking at what brands have entered the space, why it matters and what they are bringing to the table. From @_Stylion_. https://t.co/2OOYX4Mdkb",third month fashion series looking brands entered space matters bringing table
"This month, streetwear brands are battling it out for the biggest NFT acquisitions, and fast-fashion brands are opening up to the potential of NFTs and digital worlds. From @_Stylion_. https://t.co/MtJrGAHzjN",month streetwear brands battling biggest acquisitions fast fashion brands opening potential digital worlds
L’Oréal Paris enters NFT space to support Women of Worth philanthropy https://t.co/di4vGVU30D,l al paris enters space support women worth philanthropy
"On the Glossy Week in Review podcast, we discussed Ralph Lauren’s metaverse ambitions, Pete Davidson’s partnership with Calvin Klein and Chanel’s Advent calendar controversy. https://t.co/T9ao1hY1Kd",glossy week review podcast discussed ralph lauren ambitions pete davidson partnership calvin klein chanel advent calendar controversy
"This year’s British Fashion Awards had one new addition this year on the red carpet: AR digital fashion. Now, the digital accessory that was worn by multiple celebrities and designed by the Institute of Digital Fashion is being sold as an NFT. https://t.co/ZSJeQuNvyN",british fashion awards new addition red carpet ar digital fashion digital accessory worn multiple celebrities designed institute digital fashion sold
"Partnering with fashion retailer JapanLA and city organizations like Downtown Santa Monica Inc. across the U.S., the Flickpay app is aiming to bring a digital collectible metaverse to the real world through AR. https://t.co/VWiF1TuFKp",partnering fashion retailer japanla city organizations like downtown santa monica inc across u flickpay app aiming bring digital collectible real world ar
"As Art Basel Miami Beach made its pandemic comeback over the weekend, beauty brands joined the throngs of well-heeled collectors, gallerists, NFT evangelists and scenesters flocking to the event. https://t.co/7YFiHLfAqJ",art basel miami beach made pandemic comeback weekend beauty brands joined throngs well heeled collectors gallerists evangelists scenesters flocking event
"In the second month of our fashion metaverse series, we are looking at what brands have entered the space, why it matters and what they are bringing to the table. https://t.co/DNRP2K287o",second month fashion series looking brands entered space matters bringing table
How 3 fashion brands entered the metaverse in November https://t.co/zeuHCFMG3J,3 fashion brands entered november
"In the second month of our fashion metaverse series, we are looking at what brands have entered the space, why it matters and what they are bringing to the table. https://t.co/CI4PbeMhdI",second month fashion series looking brands entered space matters bringing table
NFTs bring fashion media into the metaverse age https://t.co/sT0E0ViKaP,bring fashion media age
Charlotte Tilbury steps further into the metaverse https://t.co/7gomxpyFba,charlotte tilbury steps
"Launching on Wednesday, Original Penguin will be the first fashion brand to use TikTok content as an NFT, working directly with TikTokers to support their talents. https://t.co/1bFHbLt5tY",launching wednesday original penguin fashion brand use tiktok content working directly tiktokers support talents
"In this week’s Glossy Week in Review podcast, we discussed fashion’s responsibility to the environment, Nike entering the metaverse and American Eagle acquiring another shipping logistics company. https://t.co/M27VFtVlba",week glossy week review podcast discussed fashion responsibility environment nike entering american eagle acquiring another shipping logistics company
"Week in Review: COP26, Nike in the metaverse and American Eagle’s shipping acquisitions https://t.co/ylnoP9qfWo",week review cop26 nike american eagle shipping acquisitions
How 5 brands have launched into the metaverse since September https://t.co/bBpX6Kz5XQ,5 brands launched september
"In a new series from Glossy, we are looking at what brands have entered the metaverse this past month, why it matters and what they are bringing to the table. https://t.co/ZsylNDucKz",new series glossy looking brands entered past month matters bringing table
"Aiming to reset the brand image, Dolce &amp; Gabbana’s come out with an NFT collection. But is it a step in the right direction? https://t.co/VBMuVrooQu",aiming reset brand image dolce gabbana come collection step right direction
What makes the D&amp;G NFT different from the rest? https://t.co/xunpXoIpBa,makes g different rest
"Brands have dipped a toe in the digital pond in varying strategies, eager to take advantage of the boom that drives NFT collections to sell out in minutes. https://t.co/uwJUGYKpVC",brands dipped toe digital pond varying strategies eager take advantage boom drives collections sell minutes
How fashion brands are navigating NFTs and what’s next for the metaverse https://t.co/ye0GQnMUXs,fashion brands navigating next
"For its second season, NFT fashion and beauty event Crypto Fashion Week secured major brand partners. Since the first Crypto Fashion Week was held in February 2021, multiple mainstream fashion and beauty brands have joined the NFT wave. https://t.co/tZ7y18nogx",second season fashion beauty event crypto fashion week secured major brand partners crypto fashion week held february 2021 multiple mainstream fashion beauty brands joined wave
