Tweet,Processed
"‘Man of the World’ features one of @AntonBelinskiy’s designs modelled on an animated characteristic—as part of 'Fashion for Peace' NFT collection.

Now available on sale, where all proceeds will go to Save The Children Ukraine.
https://t.co/jnkvJKQqNb https://t.co/wLVd9ZuwBw",man features designs modelled animated characteristic part peace collection available sale proceeds go save children ukraine
"‘Saint George Who Defeats The Russian Warship’ by #GuniaProject depicts Saint George as the slayer, to represent the victory of Ukraine over Russia.

'Fashion for Peace' NFT collection is now on sale, with all proceeds going to Save The Children Ukraine.
https://t.co/jnkvJKyPoB https://t.co/FvWoLLtVNa",saint george defeats russian warship guniaproject depicts saint george slayer represent victory ukraine russia peace collection sale proceeds going save children ukraine
"‘Antarctic Expedition’ sees Ukraine’s Antarctic team wearing Ienki’s Ienki’s expedition parkas—as part of 'Fashion for Peace' NFT collection.

Now available for sale, where all proceeds will go Save The Children Ukraine.
https://t.co/jnkvJKQYCJ https://t.co/9M086QKr7k",antarctic expedition sees ukraine antarctic team wearing ienki ienki expedition parkas part peace collection available sale proceeds go save children ukraine
".@dressxcom x @ttswtrs' 'Intergalactic Freedom Dress’ from 'Fashion for Peace' NFT collection sees a tulle dress in navy and gold, inspired by the Ukrainian flag. Now available for sale, with all proceeds going to Save The Children Ukraine. 
https://t.co/jnkvJKQYCJ https://t.co/EhGjdx95zQ",x intergalactic freedom dress peace collection sees tulle dress navy gold inspired ukrainian flag available sale proceeds going save children ukraine
"""In Ukrainian culture, the poppy is a symbol of beauty and youth that goes along with the DNA of my brand...""shares @annaoctiabr on 'Poppy' from 'Fashion for Peace' NFT collection. All proceeds will go to Save The Children Ukraine.
Now available on sale at https://t.co/jnkvJKQYCJ https://t.co/mxGSyGh2gG",ukrainian culture poppy symbol beauty youth goes along dna brand shares poppy peace collection proceeds go save children ukraine available sale
"Happening soon! Looking forward to chatting to @mrphilippvlasov, EIC of @VogueUkraine, and designers / founders from the ‘Fashion for Peace’ NFT project - many of whom are joining the chat from Ukraine #VogueFashionForPeace https://t.co/9douD76Bu6",happening soon looking forward chatting eic designers founders peace many joining chat ukraine voguefashionforpeace
"Gunia Project's artworks depict the war with molotov cocktails and anti-tank missiles, as part of @voguesingapore x @VogueUkraine's 'Fashion for Peace' NFT collection.

The sale is now live @opensea here:
https://t.co/jnkvJKQYCJ All proceeds will go to Save The Children Ukraine. https://t.co/qg3UFf8sU4",gunia projects artworks depict war molotov cocktails anti tank missiles part x peace collection sale live proceeds go save children ukraine
"An @AntonBelinksiy design modelled on a digital character, as part of @voguesingapore x 
@VogueUkraine's 'Fashion for Peace' NFT collection. 

The sale is now live @opensea here:
https://t.co/jnkvJKQYCJ All proceeds will go to Save The Children Ukraine. https://t.co/1w0b7Sng0G",design modelled character part x peace collection sale live proceeds go save children ukraine
".@dressxcom's ‘Intergalactic Freedom Dress’ for @voguesingapore x @VogueUkraine's 'Fashion for Peace' NFT collection.
The sale goes live @openseaon 15 March 8pm SGT here:https://t.co/jnkvJKQYCJ. All proceeds will go to Save The Children Ukraine. https://t.co/kTf44gcsCh",intergalactic freedom dress x peace collection sale goes live 15 march 8pm sgt proceeds go save children ukraine
"A photo of Ukraine’s Antarctic team wearing Ienki’s Ienki’s designs, a part of @voguesingapore x 
@VogueUkraine's 'Fashion for Peace' NFT collection

The sale goes live @openseaon 15 March 8pm SGT here:https://t.co/jnkvJKQYCJ. All proceeds will go to Save The Children Ukraine. https://t.co/gQctLc9dqq",photo ukraine antarctic team wearing ienki ienki designs part x peace collection sale goes live 15 march 8pm sgt proceeds go save children ukraine
