Username,Followers,Tweets,Verified
gucci,6719576,11491,True
adidas,4133161,14189,True
adidasUS,982921,47655,True
burberry,8201226,14208,True
LouisVuitton,9322808,7117,True
balenciaga,887599,13,True
dolcegabbana,5380026,20441,True
RebeccaMinkoff,873384,24919,True
KarlLagerfeld,1413582,1285,True
bnv_me,1140,323,False
nike,9071031,37642,True
RTFKTstudios,307405,7386,True
Overpriced_NFT,646,43,False
auroboros_ltd,1175,627,False
republiqec,651,343,False
the_fab_ric_ant,10850,1162,False
SpaceRunnersNFT,150262,349,False
MetaTriads,58145,121,False
MAVIONworld,2841,542,False
SohoKidsNFT,14998,492,False
onclickcloset,108,433,False
SCLadiesNFTs,24426,125,False
mag_nezyum,270,162,False
web3fashion,1955,2019,False
DIGITALAX_,10992,6151,False
prada,1591732,5504,True
balmain,580767,5364,True
ray_ban,426406,19004,True
superplastic,47983,1932,False
givenchy,1102986,1587,True
Bulgariofficial,707292,3901,True
MaisonValentino,2238805,10095,True
fendi,935587,8601,True
jimmychoo,1526019,6138,True
Guerlain,37386,5534,True
MetaBirkins,7211,99,False
RalphLauren,2299428,6310,True
dressxcom,4187,426,False
tribute_brand,506,139,False
dematerialised,10827,3679,False
XRCouture,1515,267,False
carlingscom,21,25,False
McQueen,1898013,6548,True
chanel,13400476,3883,True
versace,5147632,8957,True
michaelkors,3381524,13661,True
JPgaultier,1496094,9025,True
lukso_io,42289,892,False
jonathansimkhai,2857,1268,False
mmalhotraworld,30418,6975,True
pankajandnidhi,16468,1590,False
winkelstraatnl,986,1990,False
chains_nft,16543,1339,False
cryptojeweler,9785,13232,False
_Jacobandco,936,121,True
Rimowa,17222,4177,True
coach,610381,12283,True
glossyco,9751,33675,False
highsnobiety,360357,38060,True
voguemagazine,14700399,173121,True
VogueFrance,2478634,149226,True
BritishVogue,3816188,397883,True
VogueRunway,2365081,132588,True
VOGUEIndia,1242741,45871,True
vogueaustralia,169889,45157,True
VogueArabia,23573,5311,True
VogueLiving,27653,5235,True
voguebusiness,14492,10832,True
vogue_italia,1118075,78444,True
VogueSpain,2720379,120390,True
Vogue_Taiwan,1190,226,False
voguejp,878583,228953,True
VogueMexico,1535009,140077,True
VogueKorea,150832,14672,True
VOGUERussia,848104,34075,True
VOGUE_Germany,281396,20146,True
NLVogue,95084,31014,True
voguescandi,349,1514,False
vogueturkiye,1038902,36697,True
VogueThailand,12680,12380,False
HarpersBazaarSG,42781,22661,False
harpersbazaarus,1704146,114764,True
BazaarArabia,17985,13100,True
harpersbazaarES,445669,103073,True
HarpersBazaarJP,14790,24874,True
ELLEfrance,505388,124741,True
ELLEmagazine,6882237,254256,True
ELLEUK,1114106,109287,True
ELLEINDIA,1259538,27106,True
elleindonesia,14622,5651,False
ElleCanada,84207,58732,True
ELLE_network,2633,1508,False
ELLESouthAfrica,133212,37082,True
ELLEaus,12995,12378,True
Cosmopolitan,1582968,239303,True
CosmopolitanUK,347529,268852,True
Cosmopolitan_IT,128608,60082,True
CosmopolitanSA,327131,59734,True
cosmo_ph,101779,106105,False
esquire,428156,162536,True
EsquireUK,104620,71371,True
EsquirePH,379416,9543,False
esquiresg,26582,4064,False
EsquireME,3688,5047,True
esquireru,554640,41563,False
CosmopolitanNL,19013,41763,True
Cosmopolitan_es,1845470,114208,True
Cosmopolitan_fr,69625,29191,True
Allure_magazine,564770,78462,True
GQMagazine,1339277,159435,True
BritishGQ,337439,139315,True
GQAustralia,52937,24741,True
gqindia,592872,43730,True
GQStyle,656714,38849,True
GQdotcoza,397636,29903,False
VanityFair,4808184,147704,True
TheCut,1430361,222815,True
Dazed,1250547,99518,True
i_D,1504664,147703,True
NylonMag,1107587,89334,True
TeenVogue,3280601,149884,True
wwd,2783941,98541,True
vmagazine,902558,21107,True
femalesingapore,5183,2044,False
nytimes,52318707,466442,True
papermagazine,369091,85037,True
marieclaire,2190311,147740,True
rollingstone,6340911,166538,True
billboard,13464896,291732,True
time,18815522,389412,True
Fashionista_com,2225541,133896,True
VogueRunway,2365081,132588,True
FashionWeek,827433,16708,True
BoF,1848541,55593,True
InStyle,4290489,274368,True
TimesFashion,2275503,12900,True
NYTFashion,959307,56130,True
LondonFashionWk,1234998,8137,True
wmag,1472722,137201,True
glamourmag,1312189,146798,True
GraziaUK,364450,143620,True
Grazia,66178,20191,True
GraziaIndia,1582024,42377,True
Grazia_me,9005,4358,False
graziatweets,21787,7628,True
BazaarUK,508987,110212,True
GlamourMagUK,485392,199573,True
StylistMagazine,665993,159944,True
lofficielsg,828,1786,False
voxdotcom,1037192,142406,True
wired,10266223,142814,True
wiredUK,284431,96389,True
NewYorker,9036606,135200,True
RedMagDaily,99132,105620,True
marieclaireuk,279554,237852,True
BFC,303566,6864,True
TatlerAsia,11107,18173,True
tatlersingapore,1834,2145,False
Prestige_SG,874,3517,False
NYLONSG,15002,14993,False
