,Username,Datetime,Tweet Id,Text,Likes,Retweets,Replies,Quotes,Mentioned
0,EyesoFashionNFT,2022-02-24 10:33:29+00:00,1496795407975866368,"Fashion fam, which artworks would you display in your Personal Space in the @some_place Metaverse? 

We are loving these colourful, groovy digital sculptures by @amber_vittoria and @shantell_martin, two artist collabs with the Potions NFT collection by some·place, minting soon. https://t.co/Hk8JDy6DVp",38,9,6,0,"[User(username='some_place', id=1329160722786336768, displayname='some·place | Minting Now 🥳🥳', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='amber_vittoria', id=180142213, displayname='Amber Vittoria', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='shantell_martin', id=14740612, displayname='Shantell Martin', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,EyesoFashionNFT,2022-02-21 13:31:14+00:00,1495752978472574978,@blackgold11_nft @TaliaZoref Hi! Big hugs and welcome to our fashion fam. Our Discord waits u with cosy vibes! 🥰,3,0,0,1,"[User(username='blackgold11_nft', id=1486572947531649033, displayname='BLACKGOLD11_NFT', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TaliaZoref', id=1445192347357167623, displayname='Talia Zoref', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,EyesoFashionNFT,2022-02-20 09:09:42+00:00,1495324772997210113,"@bcnftgallery @fashionary_nft @WEAV3io @Joystik_app Thank you so much!! Absolutely we are art, fashion and empowerment of women through education! 💓💓",1,0,0,0,"[User(username='bcnftgallery', id=1457844403117101062, displayname='BlueChip NFT Gallery', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Fashionary_NFT', id=1446995846877233152, displayname='Fashionary🇺🇦', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='WEAV3io', id=1470152668182155264, displayname='WEAV3 - Modular Metawear', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Joystik_app', id=1431281087662080002, displayname='Joystik 🕹', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,EyesoFashionNFT,2022-02-11 19:49:35+00:00,1492224314325753857,"@hannahrose_nft @fame_ladies @cryptostacys Hi Hannah, if you love fashion, come explore the world of art, fashion and luxury with @EyesoFashionNFT! It's vibrant, cosmopolitan art is by talented artist @TaliaZoref. Her mission is to create a more inclusive world where one's identity is fashioned by style, not looks.💕 https://t.co/8nip2XzRbN",20,5,2,1,"[User(username='hannahrose_nft', id=1490514724928176129, displayname='Hannah Rose 🌹', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='fame_ladies', id=1425122574221017090, displayname='Fame Lady Squad', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='cryptostacys', id=1377794728343842825, displayname='𝗦𝘁𝗮𝗰𝘆𝘀 💖✨️', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='EyesoFashionNFT', id=1451176078211309573, displayname='Eyes of Fashion', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TaliaZoref', id=1445192347357167623, displayname='Talia Zoref', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,EyesoFashionNFT,2022-02-09 00:13:44+00:00,1491203627809001474,"We are working our way through all of our roadmap milestone giveaways to reward our holders! 🌟

We have a few more women-led NFT projects to raffle off 

&amp; 

1 random holder will receive a new, classic black Chanel purse!!! 🍾

Fashion lovers, this one is for you. #eyeconic 🥰 https://t.co/uxIWrdGeMV",139,38,22,3,
5,EyesoFashionNFT,2022-02-08 23:58:04+00:00,1491199685323026433,"@daniel100eth We're a collection of 8,888 fine art NFTs with 250+ hand-drawn vibrant traits created by, @TaliaZoref, who was inspired by the contrast between the colorful and fun fashion world and the judging eye that belittles the industry.

In the metaverse, identify by your style! https://t.co/mdNcbjqgLr",24,0,1,0,"[User(username='daniel100eth', id=1316779015777198088, displayname='Daniel100.eth', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TaliaZoref', id=1445192347357167623, displayname='Talia Zoref', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,EyesoFashionNFT,2022-02-07 07:08:26+00:00,1490583214880034822,"@katreenatecson @Crypto__Chicks Does she like fashion? If so, we may have just the NFT. We're focused on using style as an identifier rather than physical attributes. https://t.co/UsVC3Y9SO6",2,0,0,0,"[User(username='katreenatecson', id=498935667, displayname='katreena', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='crypto__chicks', id=1494035632481574915, displayname='Crypto Chicks NFTs has a new username!', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,EyesoFashionNFT,2022-02-05 18:03:00+00:00,1490023164419715077,".@EvaLongoria we know that you know fashion! 

We're a women-led collection of 8,888 fashion illustrations, with over 250+ hand-drawn traits by illustrator @TaliaZoref. 

We're focused on identifying yourself in the metaverse by your style rather than your physical looks. https://t.co/DpBnurHOe6",131,44,17,1,"[User(username='EvaLongoria', id=110827653, displayname='Eva Longoria Baston', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TaliaZoref', id=1445192347357167623, displayname='Talia Zoref', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,EyesoFashionNFT,2022-02-01 14:44:17+00:00,1488523603721310211,"We are an 8,888 piece NFT Collection with 250+ hand drawn vibrant traits by @TaliaZoref capturing the best of luxury and fashion. 

Public minting begins at 3pm UTC / 10am EST. Please use official links only. Stay safe! 

@opensea 
https://t.co/bxlB8hp8xL https://t.co/Cp2zpMWObX",35,8,6,0,"[User(username='TaliaZoref', id=1445192347357167623, displayname='Talia Zoref', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='opensea', id=946213559213555712, displayname='OpenSea', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,EyesoFashionNFT,2022-02-01 05:01:51+00:00,1488377032064995331,"@AkisNFTcollect @C_Broadus21 @YearoftheWoman_ We'd love to have your support! We are an 8,888 piece NFT Collection with 250+ hand drawn vibrant traits by 
@TaliaZoref inspired by the contrast between the colorful and fun fashion world and the judging eye that belittles the industry. Public mint tomorrow at 3pm UTC / 10am EST",2,0,0,0,"[User(username='AkisNFTcollect', id=1488132640444194821, displayname='Akis', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='YearoftheWoman_', id=1454766302245974026, displayname='Year of the Woman NFT- MINTING NOW', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TaliaZoref', id=1445192347357167623, displayname='Talia Zoref', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
