,Username,Datetime,Tweet Id,Text,Likes,Retweets,Replies,Quotes,Mentioned
0,voguesingapore,2022-03-17 07:30:00+00:00,1504359381630169091,"‘Man of the World’ features one of @AntonBelinskiy’s designs modelled on an animated characteristic—as part of 'Fashion for Peace' NFT collection.

Now available on sale, where all proceeds will go to Save The Children Ukraine.
https://t.co/jnkvJKQqNb https://t.co/wLVd9ZuwBw",18,15,1,0,"[User(username='AntonBelinskiy', id=1606075046, displayname='Anton Belinskiy', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,voguesingapore,2022-03-17 07:10:00+00:00,1504354345843781633,"‘Saint George Who Defeats The Russian Warship’ by #GuniaProject depicts Saint George as the slayer, to represent the victory of Ukraine over Russia.

'Fashion for Peace' NFT collection is now on sale, with all proceeds going to Save The Children Ukraine.
https://t.co/jnkvJKyPoB https://t.co/FvWoLLtVNa",7,1,1,0,
2,voguesingapore,2022-03-17 07:07:39+00:00,1504353756754100230,"‘Antarctic Expedition’ sees Ukraine’s Antarctic team wearing Ienki’s Ienki’s expedition parkas—as part of 'Fashion for Peace' NFT collection.

Now available for sale, where all proceeds will go Save The Children Ukraine.
https://t.co/jnkvJKQYCJ https://t.co/9M086QKr7k",7,3,0,0,
3,voguesingapore,2022-03-17 06:51:34+00:00,1504349708843905024,".@dressxcom x @ttswtrs' 'Intergalactic Freedom Dress’ from 'Fashion for Peace' NFT collection sees a tulle dress in navy and gold, inspired by the Ukrainian flag. Now available for sale, with all proceeds going to Save The Children Ukraine. 
https://t.co/jnkvJKQYCJ https://t.co/EhGjdx95zQ",8,5,0,0,"[User(username='dressxcom', id=1288177973745446912, displayname='DRESSX', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ttswtrs', id=1384103607922954247, displayname='TTSWTRS', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,voguesingapore,2022-03-17 04:34:29+00:00,1504315210592845827,"""In Ukrainian culture, the poppy is a symbol of beauty and youth that goes along with the DNA of my brand...""shares @annaoctiabr on 'Poppy' from 'Fashion for Peace' NFT collection. All proceeds will go to Save The Children Ukraine.
Now available on sale at https://t.co/jnkvJKQYCJ https://t.co/mxGSyGh2gG",13,7,0,1,"[User(username='annaoctiabr', id=134163666, displayname='Anna October', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,voguesingapore,2022-03-16 13:50:09+00:00,1504092661224935426,"Happening soon! Looking forward to chatting to @mrphilippvlasov, EIC of @VogueUkraine, and designers / founders from the ‘Fashion for Peace’ NFT project - many of whom are joining the chat from Ukraine #VogueFashionForPeace https://t.co/9douD76Bu6",12,2,0,1,"[User(username='mrphilippvlasov', id=1313234188049489922, displayname='Philipp Vlasov', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='VogueUkraine', id=159443222, displayname='Vogue Ukraine', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,voguesingapore,2022-03-15 13:15:06+00:00,1503721450456649729,"Gunia Project's artworks depict the war with molotov cocktails and anti-tank missiles, as part of @voguesingapore x @VogueUkraine's 'Fashion for Peace' NFT collection.

The sale is now live @opensea here:
https://t.co/jnkvJKQYCJ All proceeds will go to Save The Children Ukraine. https://t.co/qg3UFf8sU4",23,6,1,0,"[User(username='voguesingapore', id=1214895449695510528, displayname='Vogue Singapore', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='VogueUkraine', id=159443222, displayname='Vogue Ukraine', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='opensea', id=946213559213555712, displayname='OpenSea', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,voguesingapore,2022-03-15 13:10:41+00:00,1503720342036312066,"An @AntonBelinksiy design modelled on a digital character, as part of @voguesingapore x 
@VogueUkraine's 'Fashion for Peace' NFT collection. 

The sale is now live @opensea here:
https://t.co/jnkvJKQYCJ All proceeds will go to Save The Children Ukraine. https://t.co/1w0b7Sng0G",9,1,0,0,"[User(username='voguesingapore', id=1214895449695510528, displayname='Vogue Singapore', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='VogueUkraine', id=159443222, displayname='Vogue Ukraine', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='opensea', id=946213559213555712, displayname='OpenSea', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,voguesingapore,2022-03-15 11:43:18+00:00,1503698347655569412,".@dressxcom's ‘Intergalactic Freedom Dress’ for @voguesingapore x @VogueUkraine's 'Fashion for Peace' NFT collection.
The sale goes live @openseaon 15 March 8pm SGT here:https://t.co/jnkvJKQYCJ. All proceeds will go to Save The Children Ukraine. https://t.co/kTf44gcsCh",8,2,1,1,"[User(username='dressxcom', id=1288177973745446912, displayname='DRESSX', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='voguesingapore', id=1214895449695510528, displayname='Vogue Singapore', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='VogueUkraine', id=159443222, displayname='Vogue Ukraine', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,voguesingapore,2022-03-15 10:09:39+00:00,1503674779785895941,"A photo of Ukraine’s Antarctic team wearing Ienki’s Ienki’s designs, a part of @voguesingapore x 
@VogueUkraine's 'Fashion for Peace' NFT collection

The sale goes live @openseaon 15 March 8pm SGT here:https://t.co/jnkvJKQYCJ. All proceeds will go to Save The Children Ukraine. https://t.co/gQctLc9dqq",9,3,0,0,"[User(username='voguesingapore', id=1214895449695510528, displayname='Vogue Singapore', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='VogueUkraine', id=159443222, displayname='Vogue Ukraine', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
